PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=20.0 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=62.7 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=61.5 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=77.6 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=83.0 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=297 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=310 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=308 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=257 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=288 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=294 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=270 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=294 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=308 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=223 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=299 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=323 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=320 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=241 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=308 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=302 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=308 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=308 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=289 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=284 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=323 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=215 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=85.3 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=79.7 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=54.3 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=46.8 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=70.8 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=66.4 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=67.4 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=93.7 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=43.2 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=73.3 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=87.3 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=91.2 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=97.1 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=139 ms
